1,278331,Comuna 04,Ciudad Autonoma de Buenos Aires
0,4897890,General Rodriguez,Buenos Aires
1,10467009,Deseado,Santa Cruz
0,11006255,Las Colonias,Santa Fe
0,8223913,Formosa,Formosa
1,3440905,Quilmes,Buenos Aires
1,2466188,La Matanza,Buenos Aires
1,8685641,San Blas de los Sauces,La Rioja
1,2885625,Lomas de Zamora,Buenos Aires
3,8353795,Dr. Manuel Belgrano,Jujuy
1,10562095,Caseros,Santa Fe
0,4268266,Bartolome Mitre,Buenos Aires
1,5528404,Pilar,Buenos Aires
1,5707498,San Cayetano,Buenos Aires
1,8546418,Hucal,La Pampa
0,3504588,Quilmes,Buenos Aires
1,9237414,Capital,Misiones
1,6404742,Capital,Cordoba
3,10092198,Metan,Salta
0,8392655,Dr. Manuel Belgrano,Jujuy
1,3748859,San Miguel,Buenos Aires
0,9478457,San Pedro,Misiones
1,10704687,General Lopez,Santa Fe
0,2521582,La Matanza,Buenos Aires
3,6919576,San Justo,Cordoba
1,12092659,Capital,Tucuman
0,5315702,Marcos Paz,Buenos Aires
3,10689090,General Lopez,Santa Fe
0,11626651,Capital,Santiago del Estero
1,6266060,Capital,Cordoba
0,6829361,Rio Primero,Cordoba
3,6105265,Capital,Cordoba
0,3992279,Vicente Lopez,Buenos Aires
3,3754813,San Miguel,Buenos Aires
1,4392169,Carlos Casares,Buenos Aires
0,5732264,San Nicolas,Buenos Aires
1,7781822,Rawson,Chubut
3,666093,Comuna 10,Ciudad Autonoma de Buenos Aires
1,10034741,General Guemes,Salta
0,3090309,Merlo,Buenos Aires
0,223980,Comuna 03,Ciudad Autonoma de Buenos Aires
0,6563372,General Roca,Cordoba
3,2465927,La Matanza,Buenos Aires
0,7011943,Tercero Arriba,Cordoba
0,9661283,Adolfo Alsina,Rio negro
3,5190778,La Plata,Buenos Aires
1,437424,Comuna 06,Ciudad Autonoma de Buenos Aires
1,4671499,General Pinto,Buenos Aires
1,8895779,Las Heras,Mendoza
1,3159893,Moreno,Buenos Aires
3,5693388,San Andres de Giles,Buenos Aires
1,6392944,Capital,Cordoba
3,11786398,San Martin,Santiago del Estero
3,1737480,Florencio Varela,Buenos Aires
0,719689,Comuna 10,Ciudad Autonoma de Buenos Aires
3,1174839,Almirante Brown,Buenos Aires
0,2603925,Lanus,Buenos Aires
3,11833037,Cruz Alta,Tucuman
0,9729506,Conesa,Rio negro
3,9300629,Capital,Misiones
0,7909421,Feliciano,Entre Rios
1,1825594,General San Martin,Buenos Aires
1,3818301,Tigre,Buenos Aires
1,8926880,Las Heras,Mendoza
0,10957389,La Capital,Santa Fe
1,4147626,Bahia Blanca,Buenos Aires
1,6105969,Capital,Cordoba
1,9202409,Cainguas,Misiones
1,9706005,Bariloche,Rio negro
1,10665122,Constitucion,Santa Fe
0,7075070,Union,Cordoba
1,3957858,Tres de Febrero,Buenos Aires
2,6043525,Valle Viejo,Catamarca
3,4691894,General Pueyrredon,Buenos Aires
1,124816,Comuna 02,Ciudad Autonoma de Buenos Aires
3,581977,Comuna 08,Ciudad Autonoma de Buenos Aires
1,2328306,La Matanza,Buenos Aires
3,3928090,Tres de Febrero,Buenos Aires
1,12093590,Capital,Tucuman
0,8058030,Parana,Entre Rios
1,264787,Comuna 04,Ciudad Autonoma de Buenos Aires
1,2984504,Malvinas Argentinas,Buenos Aires
0,10117335,Oran,Salta
1,8187806,Formosa,Formosa
1,10479061,Deseado,Santa Cruz
1,8916150,Las Heras,Mendoza
0,7136256,Capital,Corrientes
3,7978590,La Paz,Entre Rios
2,2361639,La Matanza,Buenos Aires
1,1361449,Avellaneda,Buenos Aires
3,9305621,Capital,Misiones
3,8274899,Pilcomayo,Formosa
1,10378670,General Pedernera,San Luis
1,1337045,Avellaneda,Buenos Aires
0,5401317,9 de Julio,Buenos Aires
0,9947738,Capital,Salta
2,1751158,Florencio Varela,Buenos Aires
1,581949,Comuna 08,Ciudad Autonoma de Buenos Aires
1,5408492,Olavarria,Buenos Aires
0,11027891,Rosario,Santa Fe
1,5423910,Olavarria,Buenos Aires
1,1861016,General San Martin,Buenos Aires
